titulo,rating,price,link
Xbox 360 Slim Programada Chipiada 5.0 Lee Copias Matte Black,N/A,749.000,https://www.mercadolibre.com.co/xbox-360-slim-programada-chipiada-50-lee-copias/up/MCOU3647580252#polycard_client=search-desktop&search_layout=grid&position=17&type=product&tracking_id=346c15ef-9baa-4e24-bda9-f8ee51de4179&wid=MCO1749776867&sid=search
Xbox One S 1tb - Excelente (Reacondicionado),N/A,999.000,https://www.mercadolibre.com.co/xbox-one-s-1tb-excelente-reacondicionado/p/MCO2014102742#polycard_client=search-desktop&search_layout=grid&position=18&type=product&tracking_id=346c15ef-9baa-4e24-bda9-f8ee51de4179&wid=&sid=search
Gaming Console Microsoft Newxbox Series S 512gb Ssd White,N/A,2.512.919,https://www.mercadolibre.com.co/gaming-console-microsoft-newxbox-series-s-512gb-ssd-white/p/MCO2062539526#polycard_client=search-desktop&search_layout=grid&position=19&type=product&tracking_id=346c15ef-9baa-4e24-bda9-f8ee51de4179&wid=&sid=search
X Box Series X Galaxy 2tb,N/A,5.000.000,https://articulo.mercadolibre.com.co/MCO-2905506660-x-box-series-x-galaxy-2tb-_JM?searchVariation=188450165069#polycard_client=search-desktop&searchVariation=188450165069&search_layout=grid&position=20&type=item&tracking_id=346c15ef-9baa-4e24-bda9-f8ee51de4179
MicrosoftXbox One S 1TB Standard color blanco 2023, 5.0 | +500 vendidos,1.500.000,https://www.mercadolibre.com.co/microsoftxbox-one-s-1tb-standard-color-blanco-2023/p/MCO14114827#polycard_client=search-desktop&search_layout=grid&position=21&type=product&tracking_id=346c15ef-9baa-4e24-bda9-f8ee51de4179&wid=&sid=search
MicrosoftXbox 360 Slim 250GB Forza Motorsport 3/Alan Wake color negro brillante,N/A,900.000,https://www.mercadolibre.com.co/microsoftxbox-360-slim-250gb-forza-motorsport-3alan-wake-color-negro-brillante/p/MCO6311944#polycard_client=search-desktop&search_layout=grid&position=22&type=product&tracking_id=346c15ef-9baa-4e24-bda9-f8ee51de4179&wid=&sid=search
Xbox One S 1tb Con Control Blanco,N/A,1.229.000,https://www.mercadolibre.com.co/xbox-one-s-1tb-con-control/up/MCOU2962862104#polycard_client=search-desktop&search_layout=grid&position=23&type=product&tracking_id=346c15ef-9baa-4e24-bda9-f8ee51de4179&wid=MCO1530322745&sid=search
"Consola Xbox One S 1tb Game Pass 3 Meses + Live 3 Meses, (Nuevo con caja abierta)",N/A,1.300.000,https://www.mercadolibre.com.co/consola-xbox-one-s-1tb-game-pass-3-meses-live-3-meses-nuevo-con-caja-abierta/p/MCO2023210500#polycard_client=search-desktop&search_layout=grid&position=24&type=product&tracking_id=346c15ef-9baa-4e24-bda9-f8ee51de4179&wid=&sid=search
Consola Xbox Series S De 512gb. Color Blanco. Color Blanco,N/A,1.450.000,https://articulo.mercadolibre.com.co/MCO-1838831773-consola-xbox-series-s-de-512gb-color-blanco-color-blanco-_JM?searchVariation=190585077072#polycard_client=search-desktop&searchVariation=190585077072&search_layout=grid&position=25&type=item&tracking_id=346c15ef-9baa-4e24-bda9-f8ee51de4179
Xbox One S 1tb All-digital Edition Color Blanco,N/A,1.000.000,https://articulo.mercadolibre.com.co/MCO-3564941558-xbox-one-s-1tb-all-digital-edition-color-blanco-_JM?searchVariation=197114651291#polycard_client=search-desktop&searchVariation=197114651291&search_layout=grid&position=26&type=item&tracking_id=346c15ef-9baa-4e24-bda9-f8ee51de4179
